brand,fuel_type,model_date,vehicle_transmission,Car_name,Year,Location,mileage_from_odometer_km,vehicle_engine_cc,price_usd
Suzuki,Petrol,2014.0,Automatic,Alto ,2014,Peshawar,123456.0,660.0,6187.72
Toyota,Petrol,1986.0,Manual,Corolla ,1986,Swabi,123456.0,1300.0,3475.05
Toyota,Petrol,2002.0,Automatic,Vitz ,2002,Peshawar,12345.0,1300.0,5248.04
Suzuki,Petrol,1992.0,Manual,Margalla ,1992,Karachi,1000.0,1300.0,851.03
Suzuki,Petrol,2019.0,Automatic,Alto ,2019,Rawalpindi,15000.0,660.0,11169.82
Toyota,Petrol,2014.0,Automatic,Vitz ,2014,Swabi,163000.0,1000.0,9343.64
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Karachi,21000.0,1600.0,16843.37
Toyota,Petrol,2019.0,Automatic,Corolla ,2019,Karachi,35000.0,1600.0,15424.98
Toyota,Petrol,2016.0,Manual,Corolla ,2016,Karachi,83000.0,1300.0,9751.43
Toyota,Petrol,2021.0,Automatic,Yaris ,2021,Karachi,9000.0,1300.0,13652.0
Toyota,Petrol,2019.0,Automatic,Vitz ,2019,Karachi,39000.0,1000.0,15070.39
Toyota,Petrol,2017.0,Manual,Corolla ,2017,Rawalpindi,77670.0,1300.0,12410.91
Toyota,Petrol,2013.0,Automatic,Fortuner ,2013,Rawalpindi,122000.0,2700.0,26240.2
Toyota,Petrol,2018.0,Automatic,Corolla ,2018,Rawalpindi,75850.0,1600.0,14538.49
Toyota,Petrol,2012.0,Manual,Corolla ,2012,Peshawar,100000.0,1300.0,7021.03
Toyota,Petrol,2003.0,Automatic,Corolla ,2003,Peshawar,1234.0,1300.0,7269.25
Toyota,Petrol,1993.0,Automatic,Corolla ,1993,Peshawar,100000.0,1500.0,4538.85
Honda,Petrol,1999.0,Automatic,Civic ,1999,Karachi,146520.0,1600.0,3014.08
Suzuki,Petrol,2004.0,Manual,Cultus ,2004,Karachi,123456.0,1000.0,2074.39
Suzuki,Petrol,2008.0,Manual,Mehran ,2008,Peshawar,123456.0,800.0,2482.18
Honda,Petrol,2013.0,Automatic,City ,2013,Karachi,77000.0,1500.0,7978.44
Suzuki,Petrol,2014.0,Manual,Mehran ,2014,Kot,70000.0,800.0,3191.38
Honda,Petrol,2015.0,Manual,City ,2015,Lahore,74200.0,1300.0,9467.75
Suzuki,Petrol,2021.0,Manual,Cultus ,2021,Lahore,8000.0,1000.0,13120.1
Suzuki,Petrol,2006.0,Manual,Alto ,2006,Karachi,120000.0,1000.0,2038.93
Suzuki,Petrol,2008.0,Manual,Alto ,2008,Lahore,25963.0,660.0,2624.02
Suzuki,Petrol,2018.0,Manual,Mehran ,2018,Multan,70000.0,800.0,4875.71
Suzuki,Petrol,2014.0,Manual,Cultus ,2014,Lahore,46752.0,1000.0,5141.66
Suzuki,Petrol,2017.0,Manual,Cultus ,2017,Lahore,112000.0,1000.0,8510.34
Suzuki,Petrol,2021.0,Automatic,Alto ,2021,Lahore,11000.0,660.0,9574.13
Toyota,Petrol,2016.0,Automatic,Corolla ,2016,Lahore,85000.0,1300.0,10567.0
Suzuki,Petrol,2008.0,Manual,Cultus ,2008,Bahawalpur,94000.0,1000.0,3014.08
Toyota,Diesel,2002.0,Automatic,Cruiser ,2002,Kharian,175000.0,4200.0,28722.39
Toyota,Petrol,2022.0,Automatic,Fortuner ,2022,Karachi,3245.0,2700.0,56735.58
Toyota,Petrol,2018.0,Automatic,Hiace ,2018,Gujranwala,58000.0,2700.0,28367.79
Toyota,Petrol,2019.0,Automatic,Passo ,2019,Karachi,44099.0,1000.0,14715.79
Daihatsu,Petrol,2020.0,Automatic,Boon ,2020,Karachi,18765.0,1000.0,14893.09
Suzuki,Petrol,2019.0,Automatic,Alto ,2019,Karachi,27218.0,660.0,11879.01
Suzuki,Hybrid,2019.0,Automatic,R ,2019,Karachi,36313.0,660.0,13297.4
Toyota,Petrol,2002.0,Automatic,Prado ,2002,Islamabad,190000.0,2700.0,17907.17
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Islamabad,17000.0,1800.0,22339.63
Toyota,Petrol,2007.0,Automatic,Vitz ,2007,Wah,200000.0,1000.0,5141.66
Honda,Petrol,2016.0,Automatic,Civic ,2016,Quetta,43000.0,1500.0,14893.09
Honda,Hybrid,2017.0,Automatic,Vezel ,2017,Lahore,51000.0,1500.0,22339.63
Suzuki,Petrol,2010.0,Manual,Cultus ,2010,Wah,123156.0,1000.0,4131.06
Suzuki,Petrol,2021.0,Manual,Cultus ,2021,Sadiqabad,20550.0,1000.0,12410.91
Suzuki,Petrol,1990.0,Manual,Khyber ,1990,Gujrat,200000.0,1000.0,886.49
Honda,Petrol,2012.0,Automatic,Civic ,2012,Rawalpindi,100000.0,1800.0,8333.04
Suzuki,Petrol,2007.0,Manual,Alto ,2007,Karachi,250000.0,1000.0,2163.04
Suzuki,Petrol,2022.0,Automatic,R ,2022,Pindi,11000.0,1000.0,10283.32
Daihatsu,Petrol,2017.0,Automatic,Mira ,2017,Karachi,45000.0,660.0,9893.27
Nissan,Petrol,2017.0,Automatic,Dayz ,2017,Karachi,101000.0,660.0,7357.9
Honda,Petrol,2010.0,Manual,City ,2010,Layyah,136123.0,1300.0,6701.89
Honda,Petrol,2012.0,Manual,City ,2012,Islamabad,117000.0,1300.0,8244.39
Toyota,Petrol,2022.0,Automatic,Corolla ,2022,Karachi,10000.0,1600.0,20034.75
Suzuki,Petrol,1998.0,Manual,Jimny ,1998,Daharki,90000.0,1300.0,6382.75
Suzuki,CNG,2009.0,Manual,Alto ,2009,Nowshera,115000.0,1000.0,3120.46
Nissan,Petrol,2013.0,Automatic,Clipper ,2013,Karachi,131286.0,660.0,4326.09
Suzuki,Petrol,2021.0,Automatic,Alto ,2021,Lahore,29000.0,660.0,10230.13
Suzuki,Petrol,2022.0,Manual,R ,2022,Jhang,7140.0,1000.0,10460.62
Suzuki,Petrol,2019.0,Manual,R ,2019,Rawalpindi,100000.0,1000.0,8155.74
Suzuki,Petrol,2021.0,Manual,Alto ,2021,Karachi,32345.0,660.0,7747.95
Suzuki,Petrol,2018.0,Manual,R ,2018,Multan,35000.0,1000.0,7623.84
Suzuki,Petrol,2015.0,Manual,Cultus ,2015,Hyderabad,70000.0,1000.0,5584.91
